,Year,Team,Rank,GateRevenue,OtherRevenue,TotalRevenues,PlayerExpenses,OtherExpenses,TotalExpenses,Operatingincome,Year2,City,CityPopulation(in thousand),Attendance(in thousand),State,StateMedianIncome(2021$in thousand),WinningTotal
458,2015-2016,Los Angeles Clippers,6.0,56.0,129.0,185.0,116.0,80.8,196.8,-11.8,2015,Los Angeles city,3933.644,786.91,California,63.636,53.0
459,2015-2016,Los Angeles Lakers,2.0,99.0,234.0,333.0,84.0,129.8,213.8,119.2,2015,Los Angeles city,3933.644,778.877,California,63.636,17.0
460,2015-2016,Memphis Grizzlies,26.0,23.0,132.0,155.0,95.0,50.0,145.0,10.0,2015,Memphis city,654.469,684.603,Tennessee,47.33,42.0
461,2015-2016,Miami Heat,10.0,75.0,135.0,210.0,104.0,84.9,188.9,21.1,2015,Miami city,434.703,809.35,Florida,48.825,48.0
462,2015-2016,Milwaukee Bucks,27.0,25.0,121.0,146.0,80.0,42.0,122.0,24.0,2015,Milwaukee city,600.607,621.808,Wisconsin,55.425,33.0
463,2015-2016,Minnesota Timberwolves,29.0,19.0,135.0,154.0,83.0,45.1,128.1,25.9,2015,Minneapolis city,411.21,581.178,Minnesota,68.73,29.0
464,2015-2016,New Orleans Pelicans,30.0,29.0,127.0,156.0,93.0,46.3,139.3,16.7,2015,New Orleans city,390.094,688.549,Louisiana,45.922,30.0
465,2015-2016,New York Knicks,1.0,130.0,246.0,376.0,86.0,148.8,234.8,141.2,2015,New York city,8463.157,812.292,New York,58.005,32.0
466,2015-2016,Oklahoma City Thunder,17.0,59.0,128.0,187.0,122.0,73.4,195.4,-8.4,2015,Oklahoma city,,746.323,Oklahoma,47.077,55.0
467,2015-2016,Orlando Magic,19.0,36.0,130.0,166.0,73.0,48.3,121.3,44.7,2015,Orlando city,270.785,719.275,Florida,48.825,35.0
468,2015-2016,Philadelphia 76ers,25.0,23.0,117.0,140.0,73.0,48.8,121.8,18.2,2015,Philadelphia city,1571.679,610.121,Pennsylvania,60.389,10.0
469,2015-2016,Phoenix Suns,14.0,36.0,137.0,173.0,85.0,61.7,146.7,26.3,2015,Phoenix city,1583.76,701.405,Arizona,52.248,23.0
470,2015-2016,Portland Trail Blazers,16.0,45.0,133.0,178.0,72.0,64.8,136.8,41.2,2015,Portland city,631.945,794.085,Oregon,60.834,44.0
471,2015-2016,Sacramento Kings,15.0,31.0,133.0,164.0,84.0,61.6,145.6,18.4,2015,Sacramento city,486.741,707.526,California,63.636,33.0
472,2015-2016,San Antonio Spurs,12.0,62.0,125.0,187.0,98.0,70.6,168.6,18.4,2015,San Antonio city,1464.839,756.445,Texas,56.473,67.0
473,2015-2016,Toronto Raptors,13.0,57.0,136.0,193.0,83.0,63.9,146.9,46.1,2015,Toronto city,510.4,812.863,Ontario,,56.0
474,2015-2016,Utah Jazz,20.0,37.0,127.0,164.0,74.0,54.0,128.0,36.0,2015,Salt Lake city,,791.489,Utah,66.258,40.0
475,2015-2016,Washington Wizards,18.0,30.0,125.0,155.0,95.0,53.4,148.4,6.6,2015,Washington city,677.014,725.426,District of Columbia,70.071,41.0
476,2016-2017,Atlanta Hawks,23.0,27.0,182.0,209.0,119.0,68.0,187.0,22.0,2016,Atlanta city,479.59,654.306,Georgia,53.527,43.0
477,2016-2017,Boston Celtics,5.0,79.0,178.0,257.0,107.0,65.0,172.0,85.0,2016,Boston city,680.218,760.69,Massachusetts,72.266,53.0
478,2016-2017,Brooklyn Nets,6.0,57.0,216.0,273.0,96.0,125.0,221.0,52.0,2016,Brooklyn city,10.931,632.608,New York,61.437,20.0
479,2016-2017,Charlotte Hornets,28.0,26.0,176.0,202.0,115.0,66.0,181.0,21.0,2016,Charlotte city,843.989,710.643,North Carolina,53.764,36.0
480,2016-2017,Chicago Bulls,4.0,71.0,210.0,281.0,105.0,81.0,186.0,95.0,2016,Chicago city,2716.297,888.882,Illinois,61.386,41.0
481,2016-2017,Cleveland Cavaliers,15.0,76.0,204.0,280.0,149.0,137.2,286.2,-6.2,2016,Cleveland city,387.885,843.042,Ohio,53.985,51.0
482,2016-2017,Dallas Mavericks,9.0,42.0,191.0,233.0,127.0,85.0,212.0,21.0,2016,Dallas city,1323.587,811.366,Texas,58.146,33.0
483,2016-2017,Denver Nuggets,24.0,26.0,176.0,202.0,95.0,58.0,153.0,49.0,2016,Denver city,696.273,605.585,Colorado,70.566,40.0
484,2016-2017,Detroit Pistons,25.0,22.0,199.0,221.0,123.0,76.0,199.0,22.0,2016,Detroit city,677.379,655.141,Michigan,57.091,37.0
485,2016-2017,Golden State Warriors,3.0,143.0,216.0,359.0,119.0,120.0,239.0,120.0,2016,San Francisco city,871.343,803.436,California,66.637,67.0
486,2016-2017,Houston Rockets,7.0,74.0,222.0,296.0,108.0,93.0,201.0,95.0,2016,Houston city,2306.36,695.903,Texas,58.146,55.0
487,2016-2017,Indiana Pacers,22.0,26.0,179.0,205.0,106.0,70.0,176.0,29.0,2016,Indianapolis city,869.03,684.578,Indiana,56.094,42.0
488,2016-2017,Los Angeles Clippers,8.0,67.0,190.0,257.0,137.0,85.0,222.0,35.0,2016,Los Angeles city,3957.52,782.609,California,66.637,51.0
489,2016-2017,Los Angeles Lakers,2.0,93.0,278.0,371.0,108.0,127.0,235.0,136.0,2016,Los Angeles city,3957.52,776.917,California,66.637,26.0
490,2016-2017,Memphis Grizzlies,29.0,25.0,181.0,206.0,125.0,66.0,191.0,15.0,2016,Memphis city,653.026,677.314,Tennessee,51.344,43.0
491,2016-2017,Miami Heat,10.0,68.0,185.0,253.0,104.0,86.0,190.0,63.0,2016,Miami city,448.789,805.4,Florida,51.176,41.0
492,2016-2017,Milwaukee Bucks,26.0,28.0,151.0,179.0,109.0,50.0,159.0,20.0,2016,Milwaukee city,597.179,648.952,Wisconsin,59.817,42.0
493,2016-2017,Minnesota Timberwolves,27.0,23.0,181.0,204.0,96.0,55.0,151.0,53.0,2016,Minneapolis city,415.315,607.203,Minnesota,70.218,31.0
494,2016-2017,New Orleans Pelicans,30.0,30.0,174.0,204.0,117.0,50.0,167.0,37.0,2016,New Orleans city,392.265,663.099,Louisiana,42.196,34.0
495,2016-2017,New York Knicks,1.0,130.0,296.0,426.0,117.0,169.0,286.0,140.0,2016,New York city,8468.954,810.741,New York,61.437,31.0
496,2016-2017,Oklahoma City Thunder,18.0,57.0,165.0,222.0,102.0,56.0,158.0,64.0,2016,Oklahoma city,,746.323,Oklahoma,50.943,47.0
497,2016-2017,Orlando Magic,19.0,35.0,176.0,211.0,119.0,53.0,172.0,39.0,2016,Orlando city,278.667,727.875,Florida,51.176,29.0
498,2016-2017,Philadelphia 76ers,21.0,26.0,158.0,184.0,89.0,55.0,144.0,40.0,2016,Philadelphia city,1576.604,710.557,Pennsylvania,60.979,28.0
499,2016-2017,Phoenix Suns,17.0,36.0,182.0,218.0,96.0,91.0,187.0,31.0,2016,Phoenix city,1612.303,708.639,Arizona,57.1,24.0
500,2016-2017,Portland Trail Blazers,16.0,47.0,176.0,223.0,12.0,186.0,198.0,25.0,2016,Portland city,643.065,792.029,Oregon,59.135,41.0
501,2016-2017,Sacramento Kings,13.0,51.0,189.0,240.0,109.0,81.0,190.0,50.0,2016,Sacramento city,492.284,721.928,California,66.637,32.0
502,2016-2017,San Antonio Spurs,11.0,78.0,181.0,259.0,123.0,77.0,200.0,59.0,2016,San Antonio city,1488.5,755.347,Texas,58.146,61.0
503,2016-2017,Toronto Raptors,12.0,65.0,185.0,250.0,121.0,78.0,199.0,51.0,2016,Toronto city,506.8,813.05,Ontario,,51.0
504,2016-2017,Utah Jazz,20.0,43.0,178.0,221.0,95.0,65.0,160.0,61.0,2016,Salt Lake city,,806.605,Utah,67.481,51.0
505,2016-2017,Washington Wizards,14.0,48.0,174.0,222.0,119.0,82.0,201.0,21.0,2016,Washington city,687.576,697.107,District of Columbia,70.982,49.0
506,2017-2018,Atlanta Hawks,24.0,23.0,192.0,215.0,105.0,68.0,173.0,42.0,2017,Atlanta city,492.121,590.769,Georgia,57.985,24.0
507,2017-2018,Boston Celtics,5.0,88.0,199.0,287.0,114.0,73.0,187.0,100.0,2017,Boston city,688.239,744.96,Massachusetts,76.243,55.0
508,2017-2018,Brooklyn Nets,6.0,61.0,229.0,290.0,106.0,131.0,237.0,53.0,2017,Brooklyn city,10.858,622.278,New York,61.543,28.0
509,2017-2018,Charlotte Hornets,28.0,27.0,186.0,213.0,127.0,64.0,191.0,22.0,2017,Charlotte city,861.17,671.404,North Carolina,49.547,36.0
510,2017-2018,Chicago Bulls,4.0,62.0,225.0,287.0,96.0,77.0,173.0,114.0,2017,Chicago city,2710.456,851.824,Illinois,65.969,27.0
511,2017-2018,Cleveland Cavaliers,25.0,77.0,225.0,302.0,152.0,163.0,315.0,-13.0,2017,Cleveland city,385.49,843.042,Ohio,60.688,50.0
512,2017-2018,Dallas Mavericks,8.0,43.0,244.0,287.0,92.0,96.0,188.0,99.0,2017,Dallas city,1342.275,811.453,Texas,60.092,24.0
513,2017-2018,Denver Nuggets,21.0,33.0,189.0,222.0,116.0,59.0,175.0,47.0,2017,Denver city,704.869,702.796,Colorado,74.984,46.0
514,2017-2018,Detroit Pistons,26.0,44.0,191.0,235.0,127.0,56.0,183.0,52.0,2017,Detroit city,675.031,713.945,Michigan,56.405,39.0
515,2017-2018,Golden State Warriors,3.0,164.0,237.0,401.0,147.0,151.0,298.0,103.0,2017,San Francisco city,877.471,803.436,California,70.038,58.0
516,2017-2018,Houston Rockets,7.0,91.0,235.0,326.0,130.0,93.0,223.0,103.0,2017,Houston city,2313.079,716.008,Texas,60.092,65.0
517,2017-2018,Indiana Pacers,20.0,28.0,194.0,222.0,104.0,68.0,172.0,50.0,2017,Indianapolis city,873.824,658.119,Indiana,58.767,48.0
518,2017-2018,Los Angeles Clippers,9.0,57.0,201.0,258.0,135.0,83.0,218.0,40.0,2017,Los Angeles city,3975.067,697.812,California,70.038,42.0
519,2017-2018,Los Angeles Lakers,2.0,96.0,299.0,395.0,112.0,136.0,248.0,147.0,2017,Los Angeles city,3975.067,776.327,California,70.038,35.0
520,2017-2018,Memphis Grizzlies,30.0,22.0,191.0,213.0,121.0,65.0,186.0,27.0,2017,Memphis city,651.398,653.863,Tennessee,55.306,22.0
521,2017-2018,Miami Heat,10.0,76.0,183.0,259.0,131.0,88.0,219.0,40.0,2017,Miami city,455.925,785.25,Florida,53.086,44.0
522,2017-2018,Milwaukee Bucks,22.0,35.0,169.0,204.0,127.0,52.0,179.0,25.0,2017,Milwaukee city,594.154,685.303,Wisconsin,63.482,44.0
523,2017-2018,Minnesota Timberwolves,27.0,36.0,187.0,223.0,120.0,56.0,176.0,47.0,2017,Minneapolis city,421.177,699.308,Minnesota,69.975,47.0
524,2017-2018,New Orleans Pelicans,29.0,38.0,176.0,214.0,133.0,52.0,185.0,29.0,2017,New Orleans city,391.819,673.92,Louisiana,43.565,48.0
525,2017-2018,New York Knicks,1.0,127.0,316.0,443.0,115.0,173.0,288.0,155.0,2017,New York city,8437.695,792.608,New York,61.543,29.0
526,2017-2018,Oklahoma City Thunder,18.0,60.0,181.0,241.0,146.0,85.0,231.0,10.0,2017,Oklahoma city,,746.323,Oklahoma,51.882,48.0
527,2017-2018,Orlando Magic,23.0,35.0,188.0,223.0,108.0,51.0,159.0,64.0,2017,Orlando city,282.074,715.728,Florida,53.086,25.0
528,2017-2018,Philadelphia 76ers,12.0,59.0,209.0,268.0,105.0,95.0,200.0,68.0,2017,Philadelphia city,1581.699,833.503,Pennsylvania,61.285,52.0
529,2017-2018,Phoenix Suns,17.0,36.0,199.0,235.0,97.0,91.0,188.0,47.0,2017,Phoenix city,1633.704,674.655,Arizona,59.7,21.0
530,2017-2018,Portland Trail Blazers,14.0,49.0,197.0,246.0,136.0,70.0,206.0,40.0,2017,Portland city,648.176,795.328,Oregon,62.498,49.0
531,2017-2018,Sacramento Kings,15.0,51.0,212.0,263.0,103.0,88.0,191.0,72.0,2017,Sacramento city,498.386,649.571,California,70.038,27.0
532,2017-2018,San Antonio Spurs,13.0,73.0,189.0,262.0,126.0,73.0,199.0,63.0,2017,San Antonio city,1511.566,754.562,Texas,60.092,47.0
533,2017-2018,Toronto Raptors,11.0,74.0,201.0,275.0,127.0,72.0,199.0,76.0,2017,Toronto city,501.2,813.431,Ontario,,59.0
534,2017-2018,Utah Jazz,19.0,57.0,186.0,243.0,120.0,64.0,184.0,59.0,2017,Salt Lake city,,734.806,Utah,69.789,48.0
535,2017-2018,Washington Wizards,16.0,54.0,201.0,255.0,136.0,85.0,221.0,34.0,2017,Washington city,697.079,718.946,District of Columbia,81.282,43.0
536,2018-2019,Atlanta Hawks,23.0,32.0,219.0,251.0,95.0,78.0,173.0,78.0,2018,Atlanta city,498.772,628.44,Georgia,55.821,29.0
537,2018-2019,Boston Celtics,5.0,85.0,219.0,304.0,139.0,77.0,216.0,88.0,2018,Boston city,692.048,763.584,Massachusetts,86.345,49.0
538,2018-2019,Brooklyn Nets,7.0,60.0,244.0,304.0,135.0,127.0,262.0,42.0,2018,Brooklyn city,10.79,612.597,New York,67.274,42.0
539,2018-2019,Charlotte Hornets,25.0,28.0,212.0,240.0,127.0,74.0,201.0,39.0,2018,Charlotte city,874.187,676.57,North Carolina,53.369,39.0
540,2018-2019,Chicago Bulls,4.0,61.0,240.0,301.0,151.0,47.0,198.0,103.0,2018,Chicago city,2700.968,823.475,Illinois,70.145,22.0
541,2018-2019,Cleveland Cavaliers,24.0,69.0,231.0,300.0,137.0,124.0,261.0,39.0,2018,Cleveland city,383.408,793.337,Ohio,61.633,19.0
542,2018-2019,Dallas Mavericks,9.0,52.0,255.0,307.0,108.0,94.0,202.0,105.0,2018,Dallas city,1341.692,820.569,Texas,59.785,33.0
543,2018-2019,Denver Nuggets,18.0,47.0,205.0,252.0,131.0,69.0,200.0,52.0,2018,Denver city,716.34,756.457,Colorado,73.034,54.0
544,2018-2019,Detroit Pistons,26.0,47.0,208.0,255.0,138.0,65.0,203.0,52.0,2018,Detroit city,673.658,675.963,Michigan,60.449,41.0
545,2018-2019,Golden State Warriors,3.0,178.0,262.0,440.0,156.0,175.0,331.0,109.0,2018,San Francisco city,879.676,803.436,California,70.489,57.0
546,2018-2019,Houston Rockets,8.0,97.0,251.0,348.0,146.0,92.0,238.0,110.0,2018,Houston city,2314.478,740.392,Texas,59.785,53.0
547,2018-2019,Indiana Pacers,22.0,32.0,211.0,243.0,119.0,69.0,188.0,55.0,2018,Indianapolis city,881.345,689.31,Indiana,59.892,48.0
548,2018-2019,Los Angeles Clippers,6.0,64.0,218.0,282.0,128.0,81.0,209.0,73.0,2018,Los Angeles city,3981.14,710.327,California,70.489,48.0
549,2018-2019,Los Angeles Lakers,2.0,104.0,330.0,434.0,120.0,136.0,256.0,178.0,2018,Los Angeles city,3981.14,778.877,California,70.489,37.0
550,2018-2019,Memphis Grizzlies,30.0,20.0,204.0,224.0,136.0,64.0,200.0,24.0,2018,Memphis city,651.7,607.564,Tennessee,56.06,33.0
551,2018-2019,Miami Heat,12.0,70.0,224.0,294.0,144.0,92.0,236.0,58.0,2018,Miami city,461.962,805.264,Florida,54.644,39.0
552,2018-2019,Milwaukee Bucks,19.0,65.0,218.0,283.0,126.0,88.0,214.0,69.0,2018,Milwaukee city,591.961,721.692,Wisconsin,62.629,60.0
553,2018-2019,Minnesota Timberwolves,28.0,33.0,201.0,234.0,132.0,56.0,188.0,46.0,2018,Minneapolis city,424.31,627.543,Minnesota,71.817,36.0
554,2018-2019,New Orleans Pelicans,29.0,33.0,191.0,224.0,127.0,48.0,175.0,49.0,2018,New Orleans city,391.506,656.183,Louisiana,49.973,33.0
555,2018-2019,New York Knicks,1.0,132.0,340.0,472.0,134.0,181.0,315.0,157.0,2018,New York city,8396.614,779.087,New York,67.274,17.0
556,2018-2019,Oklahoma City Thunder,20.0,63.0,195.0,258.0,162.0,119.0,281.0,-23.0,2018,Oklahoma city,,746.323,Oklahoma,54.434,49.0
557,2018-2019,Orlando Magic,27.0,43.0,201.0,244.0,120.0,54.0,174.0,70.0,2018,Orlando city,286.233,720.024,Florida,54.644,42.0
558,2018-2019,Philadelphia 76ers,11.0,71.0,229.0,300.0,117.0,93.0,210.0,90.0,2018,Philadelphia city,1586.422,838.092,Pennsylvania,64.524,51.0
559,2018-2019,Phoenix Suns,17.0,34.0,212.0,246.0,115.0,89.0,204.0,42.0,2018,Phoenix city,1655.082,627.023,Arizona,62.283,19.0
560,2018-2019,Portland Trail Blazers,13.0,67.0,220.0,287.0,143.0,93.0,236.0,51.0,2018,Portland city,651.154,799.345,Oregon,69.165,53.0
561,2018-2019,Sacramento Kings,15.0,60.0,226.0,286.0,107.0,98.0,205.0,81.0,2018,Sacramento city,504.185,700.975,California,70.489,39.0
562,2018-2019,San Antonio Spurs,14.0,76.0,209.0,285.0,142.0,77.0,219.0,66.0,2018,San Antonio city,1530.829,750.616,Texas,59.785,48.0
563,2018-2019,Toronto Raptors,10.0,101.0,233.0,334.0,146.0,109.0,255.0,79.0,2018,Toronto city,496.7,812.822,Ontario,,58.0
564,2018-2019,Utah Jazz,21.0,58.0,200.0,258.0,129.0,66.0,195.0,63.0,2018,Salt Lake city,,750.546,Utah,77.067,50.0
565,2018-2019,Washington Wizards,16.0,53.0,216.0,269.0,142.0,72.0,214.0,55.0,2018,Washington city,704.147,716.996,District of Columbia,85.75,32.0
566,2019-2020,Atlanta Hawks,24.0,31.0,191.0,222.0,111.0,75.0,186.0,36.0,2019,Atlanta city,507.301,,Georgia,56.628,20.0
567,2019-2020,Boston Celtics,5.0,67.0,207.0,274.0,109.0,79.0,188.0,86.0,2019,Boston city,694.661,,Massachusetts,87.707,48.0
568,2019-2020,Brooklyn Nets,7.0,54.0,226.0,280.0,198.0,38.0,236.0,44.0,2019,Brooklyn city,10.719,,New York,71.855,35.0
569,2019-2020,Charlotte Hornets,25.0,20.0,195.0,215.0,114.0,65.0,179.0,36.0,2019,Charlotte city,887.928,,North Carolina,61.159,23.0
570,2019-2020,Chicago Bulls,4.0,65.0,235.0,300.0,106.0,79.0,185.0,115.0,2019,Chicago city,2691.497,,Illinois,74.399,22.0
571,2019-2020,Cleveland Cavaliers,22.0,54.0,215.0,269.0,120.0,103.0,223.0,46.0,2019,Cleveland city,381.386,,Ohio,64.663,19.0
572,2019-2020,Dallas Mavericks,9.0,53.0,242.0,295.0,112.0,99.0,211.0,84.0,2019,Dallas city,1343.192,,Texas,67.444,43.0
573,2019-2020,Denver Nuggets,19.0,37.0,181.0,218.0,123.0,68.0,191.0,27.0,2019,Denver city,725.508,,Colorado,72.499,46.0
574,2019-2020,Detroit Pistons,27.0,32.0,195.0,227.0,123.0,59.0,182.0,45.0,2019,Detroit city,670.442,,Michigan,64.119,20.0
575,2019-2020,Golden State Warriors,2.0,150.0,324.0,474.0,129.0,145.0,274.0,200.0,2019,San Francisco city,878.826,,California,78.105,15.0
576,2019-2020,Houston Rockets,8.0,73.0,235.0,308.0,124.0,90.0,214.0,94.0,2019,Houston city,2315.72,,Texas,67.444,44.0
577,2019-2020,Indiana Pacers,23.0,31.0,186.0,217.0,106.0,72.0,178.0,39.0,2019,Indianapolis city,885.522,,Indiana,66.693,45.0
578,2019-2020,Los Angeles Clippers,6.0,51.0,211.0,262.0,122.0,83.0,205.0,57.0,2019,Los Angeles city,3982.885,,California,78.105,49.0
579,2019-2020,Los Angeles Lakers,3.0,80.0,320.0,400.0,114.0,131.0,245.0,155.0,2019,Los Angeles city,3982.885,,California,78.105,52.0
580,2019-2020,Memphis Grizzlies,30.0,18.0,192.0,210.0,118.0,70.0,188.0,22.0,2019,Memphis city,650.998,,Tennessee,56.627,34.0
581,2019-2020,Miami Heat,12.0,56.0,210.0,266.0,126.0,102.0,228.0,38.0,2019,Miami city,467.103,,Florida,58.368,44.0
582,2019-2020,Milwaukee Bucks,20.0,46.0,193.0,239.0,125.0,87.0,212.0,27.0,2019,Milwaukee city,590.952,,Wisconsin,67.355,56.0
583,2019-2020,Minnesota Timberwolves,28.0,24.0,190.0,214.0,126.0,56.0,182.0,32.0,2019,Minneapolis city,428.821,,Minnesota,81.426,19.0
584,2019-2020,New Orleans Pelicans,29.0,28.0,181.0,209.0,111.0,54.0,165.0,44.0,2019,New Orleans city,391.172,,Louisiana,51.707,30.0
585,2019-2020,New York Knicks,1.0,108.0,313.0,421.0,103.0,140.0,243.0,178.0,2019,New York city,8342.925,,New York,71.855,21.0
586,2019-2020,Oklahoma City Thunder,21.0,52.0,184.0,236.0,123.0,62.0,185.0,51.0,2019,Oklahoma city,,,Oklahoma,59.397,44.0
587,2019-2020,Orlando Magic,26.0,33.0,185.0,218.0,122.0,59.0,181.0,37.0,2019,Orlando city,287.73,,Florida,58.368,33.0
588,2019-2020,Philadelphia 76ers,11.0,48.0,211.0,259.0,120.0,88.0,208.0,51.0,2019,Philadelphia city,1584.439,,Pennsylvania,70.582,43.0
589,2019-2020,Phoenix Suns,17.0,30.0,192.0,222.0,112.0,90.0,202.0,20.0,2019,Phoenix city,1682.933,,Arizona,70.674,34.0
590,2019-2020,Portland Trail Blazers,13.0,48.0,192.0,240.0,133.0,80.0,213.0,27.0,2019,Portland city,654.378,,Oregon,74.413,35.0
591,2019-2020,Sacramento Kings,15.0,45.0,200.0,245.0,100.0,100.0,200.0,45.0,2019,Sacramento city,509.748,,California,78.105,31.0
592,2019-2020,San Antonio Spurs,14.0,55.0,200.0,255.0,115.0,77.0,192.0,63.0,2019,San Antonio city,1547.256,,Texas,67.444,32.0
593,2019-2020,Toronto Raptors,10.0,57.0,207.0,264.0,115.0,70.0,185.0,79.0,2019,Toronto city,494.0,,Ontario,,53.0
594,2019-2020,Utah Jazz,18.0,46.0,180.0,226.0,116.0,68.0,184.0,42.0,2019,Salt Lake city,,,Utah,84.523,44.0
595,2019-2020,Washington Wizards,16.0,37.0,194.0,231.0,117.0,75.0,192.0,39.0,2019,Washington city,708.253,,District of Columbia,93.111,25.0
596,2020-2021,Atlanta Hawks,21.0,53.0,229.0,282.0,121.0,77.0,198.0,84.0,2020,Atlanta city,512.55,,Georgia,59.265,41.0
597,2020-2021,Boston Celtics,5.0,125.0,236.0,361.0,137.0,87.0,224.0,137.0,2020,Boston city,691.531,,Massachusetts,87.812,36.0
598,2020-2021,Brooklyn Nets,7.0,76.0,329.0,405.0,174.0,265.0,439.0,-34.0,2020,Brooklyn city,10.637,,New York,68.659,48.0
599,2020-2021,Charlotte Hornets,27.0,31.0,238.0,269.0,105.0,70.0,175.0,94.0,2020,Charlotte city,900.35,,North Carolina,60.43,33.0
600,2020-2021,Chicago Bulls,4.0,92.0,260.0,352.0,117.0,100.0,217.0,135.0,2020,Chicago city,2677.643,,Illinois,74.334,31.0
601,2020-2021,Cleveland Cavaliers,17.0,77.0,248.0,325.0,128.0,123.0,251.0,74.0,2020,Cleveland city,378.589,,Ohio,60.379,22.0
602,2020-2021,Dallas Mavericks,8.0,105.0,259.0,364.0,117.0,104.0,221.0,143.0,2020,Dallas city,1343.266,,Texas,68.404,42.0
603,2020-2021,Denver Nuggets,22.0,50.0,223.0,273.0,138.0,68.0,206.0,67.0,2020,Denver city,735.538,,Colorado,83.777,47.0
604,2020-2021,Detroit Pistons,23.0,39.0,239.0,278.0,127.0,59.0,186.0,92.0,2020,Detroit city,665.369,,Michigan,64.392,20.0
605,2020-2021,Golden State Warriors,1.0,257.0,508.0,765.0,169.0,390.0,559.0,206.0,2020,San Francisco city,866.606,,California,77.652,39.0
606,2020-2021,Houston Rockets,9.0,86.0,264.0,350.0,128.0,109.0,237.0,113.0,2020,Houston city,2316.12,,Texas,68.404,17.0
607,2020-2021,Indiana Pacers,26.0,32.0,232.0,264.0,127.0,72.0,199.0,65.0,2020,Indianapolis city,887.756,,Indiana,66.805,34.0
608,2020-2021,Los Angeles Clippers,6.0,59.0,303.0,362.0,169.0,181.0,350.0,12.0,2020,Los Angeles city,3970.219,,California,77.652,47.0
609,2020-2021,Los Angeles Lakers,3.0,102.0,363.0,465.0,163.0,187.0,350.0,115.0,2020,Los Angeles city,3970.219,,California,77.652,42.0
610,2020-2021,Memphis Grizzlies,29.0,44.0,228.0,272.0,93.0,72.0,165.0,107.0,2020,Memphis city,649.705,,Tennessee,54.975,38.0
611,2020-2021,Miami Heat,12.0,111.0,215.0,326.0,138.0,105.0,243.0,83.0,2020,Miami city,471.525,,Florida,57.763,40.0
612,2020-2021,Milwaukee Bucks,15.0,85.0,267.0,352.0,151.0,150.0,301.0,51.0,2020,Milwaukee city,589.067,,Wisconsin,67.405,46.0
613,2020-2021,Minnesota Timberwolves,28.0,44.0,227.0,271.0,134.0,50.0,184.0,87.0,2020,Minneapolis city,433.111,,Minnesota,78.753,23.0
614,2020-2021,New Orleans Pelicans,30.0,47.0,221.0,268.0,121.0,53.0,174.0,94.0,2020,New Orleans city,389.476,,Louisiana,51.186,31.0
615,2020-2021,New York Knicks,2.0,133.0,319.0,452.0,111.0,186.0,297.0,155.0,2020,New York city,8253.213,,New York,68.659,41.0
616,2020-2021,Oklahoma City Thunder,24.0,45.0,229.0,274.0,77.0,68.0,145.0,129.0,2020,Oklahoma city,,,Oklahoma,52.471,22.0
617,2020-2021,Orlando Magic,25.0,38.0,234.0,272.0,111.0,63.0,174.0,98.0,2020,Orlando city,289.457,,Florida,57.763,21.0
618,2020-2021,Philadelphia 76ers,10.0,83.0,262.0,345.0,143.0,115.0,258.0,87.0,2020,Philadelphia city,1578.487,,Pennsylvania,70.789,49.0
619,2020-2021,Phoenix Suns,13.0,76.0,226.0,302.0,108.0,107.0,215.0,87.0,2020,Phoenix city,1708.127,,Arizona,67.088,51.0
620,2020-2021,Portland Trail Blazers,16.0,54.0,237.0,291.0,134.0,76.0,210.0,81.0,2020,Portland city,656.751,,Oregon,76.855,42.0
621,2020-2021,Sacramento Kings,18.0,60.0,219.0,279.0,141.0,109.0,250.0,29.0,2020,Sacramento city,512.838,,California,77.652,31.0
622,2020-2021,San Antonio Spurs,20.0,69.0,237.0,306.0,118.0,89.0,207.0,99.0,2020,San Antonio city,1567.118,,Texas,68.404,33.0
623,2020-2021,Toronto Raptors,11.0,55.0,244.0,299.0,137.0,76.0,213.0,86.0,2020,Toronto city,490.2,,Ontario,,27.0
624,2020-2021,Utah Jazz,19.0,68.0,240.0,308.0,151.0,99.0,250.0,58.0,2020,Salt Lake city,,,Utah,83.993,52.0
625,2020-2021,Washington Wizards,14.0,47.0,244.0,291.0,130.0,71.0,201.0,90.0,2020,Washington city,712.816,,District of Columbia,88.218,34.0
